"","カいカ","カカ","カ蔼动カ","2011","2012","2013","2014","2015","2016","2017","2018","2019","る1","る10","る11","る12","る2","る3","る4","る5","る6","る7","る8","る9","キА放","程蔼放","程放","獴ら计","程10だ牧硉","程10だ牧..","程俐丁硉","程俐丁..","キА癸楞","程癸楞","キА代溃","羆ら酚计","獴秖"
"214",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,26.1,33.6,20.4,1,4.8,350,10.9,340,71,44,1003.9,214.2,0
"215",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23,31.1,16.5,0,5.2,350,11.1,350,69,34,1005.2,239.3,0
"216",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,19.3,29.5,12,5,6.3,10,14.3,30,75,38,1008.7,204.5,100
"217",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.5,25,11.3,5,6.6,10,13.9,340,72,39,1018.4,130.2,0
"218",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.1,29.5,11.8,2,6.1,310,10.6,350,72,38,1015.3,212.8,0
"219",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.4,30.2,13.8,4,5.4,310,10.6,340,68,46,1017.1,140.2,0
"220",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.6,31,17.7,3,5.6,310,12.4,290,69,43,1013.6,195.3,0
"221",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27.2,32.9,21.2,7,7.2,320,13.9,320,75,52,1009,186.8,100
"222",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.3,35.8,23.5,9,7.7,150,14.9,150,76,54,1006.9,240.9,400
"223",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28.7,33.9,24.5,14,7,170,14.4,220,80,55,1005.9,211.9,500
"224",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.5,34,25,10,9.4,270,21.4,250,76,53,1005.8,235.6,400
"225",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.7,33.7,25.1,8,5.7,310,9.1,300,75,55,1007.9,192,100
"226",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,32.3,22.8,7,4.7,310,7.8,310,77,56,1012.4,167.4,100
"227",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.2,31.4,19.8,10,5.8,150,10.7,160,79,54,1014,130.2,200
"228",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.1,28.7,13.6,6,5.8,350,11.9,20,76,49,1017.8,93.4,0
"229",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.3,28.3,13.3,0,6.7,350,13.3,350,75,49,1017.1,177.1,0
"230",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.1,29.7,12.7,7,7.5,350,15.3,340,76,45,1015.5,165,0
"231",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23.6,32.3,15.4,2,6.5,150,11.8,350,71,37,1014.6,216.3,0
"232",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.6,33,21.1,10,7.1,330,13.7,290,77,53,1011.8,174.7,100
"233",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,34,23.3,15,5.6,310,9.3,180,79,55,1008,231.8,300
"234",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.5,34.4,23.8,19,10.8,170,22.4,170,83,56,1004.1,164.5,800
"235",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.5,36.4,25.2,14,8.9,160,16.7,170,77,49,1005.6,230.3,100
"236",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.1,34.1,22.9,22,12.7,310,24.5,310,83,55,1002.9,135.7,800
"237",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.7,33.6,24,3,6.2,350,12,330,73,47,1009,218.8,100
"238",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.6,31.1,21.7,1,5.4,310,8.8,320,69,49,1012.8,211.9,0
"239",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.9,32.1,20,5,5.6,360,10.2,350,75,48,1014.7,168.6,0
"240",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.1,29.6,11,4,7.7,360,17.7,10,74,47,1016.5,160.7,0
"241",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.7,27.9,12.1,0,8.7,340,17.3,340,71,43,1018.2,173,0
"242",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.3,30.1,15.7,0,6.6,320,10.9,330,73,42,1017,207.1,0
"243",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23.9,31.1,16.1,5,7.1,360,17.4,330,71,37,1014.9,220.9,0
"244",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.1,31,17.2,8,6.8,340,14.7,280,76,54,1011.8,130.3,100
"245",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27.6,32.8,21.6,14,5.8,340,13.9,290,82,66,1009.5,173.6,400
"246",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.8,34.5,25.5,9,9,170,16.8,160,77,57,1006.9,238.6,100
"247",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.7,35.7,24.6,12,9.9,320,18.4,330,75,52,1008.4,248.1,200
"248",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,34.3,23.2,17,10.3,320,19.5,320,81,55,1006.1,185,800
"249",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.6,32.6,22.8,7,9.3,150,20.3,160,77,57,1007.5,219.9,100
"250",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.6,31.5,20.6,2,8.9,340,21.6,340,69,48,1011.3,243.3,0
"251",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.3,30.2,14.7,2,6.9,350,13.1,340,71,39,1015.7,128.3,0
"252",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.9,28.9,12,5,8.4,10,17.8,10,67,35,1016.5,139.1,0
"253",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.5,28.3,11.1,0,5.6,340,10.5,340,64,29,1019,254.8,0
"254",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.3,28.5,11.3,5,7.1,350,13.6,340,70,42,1015.8,184.6,0
"255",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.6,30.6,16.8,2,12.2,320,25.2,310,72,53,1016.2,190.4,100
"256",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.9,31.7,20.2,4,8.9,340,14.5,340,74,55,1012.5,197.8,0
"257",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27.8,32.9,21.9,13,6.1,230,14.1,290,78,56,1010.2,192.6,200
"258",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.2,33.6,25,19,7,260,15.7,270,81,57,1004.8,199.4,200
"259",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.3,34.8,25.7,9,12.8,170,23.5,170,78,56,1005.3,256.8,300
